Age,Country,CountryCode,Player,Position
4 October 1947  ,Belgium,BEL,Christian PIOT,Goalkeeper
8 August 1941  ,Belgium,BEL,Georges HEYLENS,Defender
21 April 1946  ,Belgium,BEL,Jean THISSEN,Defender
20 September 1945  ,Belgium,BEL,Nicolas DEWALQUE,Defender
9 February 1947  ,Belgium,BEL,Leon JECK,Defender
24 May 1941  ,Belgium,BEL,Jan DOCKX,Midfielder
4 January 1940  ,Belgium,BEL,Leon SEMMELING,Midfielder
1 March 1945  ,Belgium,BEL,Wilfried VAN MOER,Midfielder
14 April 1944  ,Belgium,BEL,Johannes DEVRINDT,Forward
2 October 1943  ,Belgium,BEL,Paul VAN HIMST,Forward
18 February 1943  ,Belgium,BEL,Wilfried PUIS,Forward
13 January 1942  ,Belgium,BEL,Jean-Marie TRAPPENIERS,Goalkeeper
21 December 1944  ,Belgium,BEL,Jacques BEURLET,Defender
5 June 1947  ,Belgium,BEL,Maurice MARTENS,Defender
5 March 1945  ,Belgium,BEL,Erwin VAN DEN DAELE,Midfielder
1 May 1943  ,Belgium,BEL,Odilon POLLEUNIS,Forward
9 July 1944  ,Belgium,BEL,Jan VERHEYEN,Midfielder
20 October 1944  ,Belgium,BEL,Raoul LAMBERT,Forward
24 September 1943  ,Belgium,BEL,Pierre CARTEUS,Forward
21 January 1943  ,Belgium,BEL,Alfonse PEETERS,Defender
25 September 1945  ,Belgium,BEL,Francois JANSSENS,Forward
22 April 1940  ,Belgium,BEL,Jacques DUQUESNE,Goalkeeper
17 October 1921  ,Belgium,BEL,GOETHALS Raymond,Coach
24 December 1937  ,Brazil,BRA,FELIX,Goalkeeper
9 August 1939  ,Brazil,BRA,BRITO,Defender
25 February 1943  ,Brazil,BRA,WILSON PIAZZA,Defender
17 July 1944  ,Brazil,BRA,CARLOS ALBERTO,Defender
26 September 1949  ,Brazil,BRA,CLODOALDO,Midfielder
6 February 1951  ,Brazil,BRA,MARCO ANTONIO,Defender
25 December 1944  ,Brazil,BRA,JAIRZINHO,Forward
11 January 1941  ,Brazil,BRA,GERSON,Midfielder
25 January 1947  ,Brazil,BRA,TOSTAO,Midfielder
23 October 1940  ,Brazil,BRA,PELÃ (Edson Arantes do Nascimento),Forward
1 January 1946  ,Brazil,BRA,RIVELINO,Midfielder
4 July 1944  ,Brazil,BRA,ADO,Goalkeeper
31 July 1944  ,Brazil,BRA,ROBERTO,Forward
14 March 1946  ,Brazil,BRA,BALDOCHI,Defender
31 December 1940  ,Brazil,BRA,FONTANA,Defender
11 September 1944  ,Brazil,BRA,EVERALDO,Defender
18 September 1946  ,Brazil,BRA,JOEL CAMARGO,Defender
16 June 1949  ,Brazil,BRA,PAULO CESAR,Midfielder
6 August 1949  ,Brazil,BRA,EDU,Forward
4 March 1946  ,Brazil,BRA,DARIO,Forward
18 May 1949  ,Brazil,BRA,ZE MARIA,Defender
11 July 1949  ,Brazil,BRA,LEAO,Goalkeeper
9 August 1931  ,Brazil,BRA,ZAGALLO Mario,Coach
12 November 1942  ,Bulgaria,BUL,Dobromir JECHEV,unspecified
26 April 1946  ,Bulgaria,BUL,Simeon SIMEONOV,Goalkeeper
4 September 1941  ,Bulgaria,BUL,Aleksandar SHALAMANOV,Defender
14 May 1935  ,Bulgaria,BUL,Ivan DIMITROV,Defender
18 October 1947  ,Bulgaria,BUL,Stefan ALADZHOV,Defender
5 October 1943  ,Bulgaria,BUL,Ivan DAVIDOV,Midfielder
12 July 1945  ,Bulgaria,BUL,Dimitar PENEV,Defender
14 July 1944  ,Bulgaria,BUL,Georgi POPOV,Forward
3 February 1947  ,Bulgaria,BUL,Hristo BONEV,Midfielder
10 October 1944  ,Bulgaria,BUL,Petar ZHEKOV,Forward
12 August 1941  ,Bulgaria,BUL,Dimitar YAKIMOV,Forward
2 June 1941  ,Bulgaria,BUL,Dinko DERMENDZHIEV,Midfielder
18 March 1946  ,Bulgaria,BUL,Milko GAIDARSKI,Defender
29 January 1944  ,Bulgaria,BUL,Stoyan YORDANOV,Goalkeeper
12 November 1942  ,Bulgaria,BUL,Dobromir ZECHEV,Defender
7 October 1941  ,Bulgaria,BUL,Boris GAGANELOV,Defender
21 August 1945  ,Bulgaria,BUL,Asparukh NIKODIMOV,Midfielder
29 April 1942  ,Bulgaria,BUL,Todor KOLEV,Midfielder
31 August 1947  ,Bulgaria,BUL,Dimitar MARASHLIEV,Forward
4 May 1943  ,Bulgaria,BUL,Georgi ASPARUKHOV,Forward
17 September 1943  ,Bulgaria,BUL,Vasil MITKOV,Forward
27 July 1945  ,Bulgaria,BUL,Bozhidar GRIGOROV,Forward
3 September 1947  ,Bulgaria,BUL,Georgi KAMENSKI,Goalkeeper
1 January 1900  ,Bulgaria,BUL,BOZHKOV Stefan,Coach
20 September 1923  ,Bulgaria,BUL,BOZHKOV Stefan,Coach
21 May 1942  ,Czechoslovakia,TCH,Ivo VIKTOR,Goalkeeper
18 December 1947  ,Czechoslovakia,TCH,Karol DOBIAS,Defender
16 September 1944  ,Czechoslovakia,TCH,Vaclav MIGAS,Defender
7 November 1943  ,Czechoslovakia,TCH,Vladimir HAGARA,Defender
28 December 1938  ,Czechoslovakia,TCH,Alexander HORVATH,Defender
19 May 1936  ,Czechoslovakia,TCH,Andrej KVASNAK,Midfielder
18 June 1945  ,Czechoslovakia,TCH,Bohumil VESELY,Midfielder
1 December 1946  ,Czechoslovakia,TCH,Ladislav PETRAS,Forward
3 April 1947  ,Czechoslovakia,TCH,Ladislav KUNA,Midfielder
26 February 1942  ,Czechoslovakia,TCH,Jozef ADAMEC,Forward
29 August 1945  ,Czechoslovakia,TCH,Karol JOKL,Forward
13 November 1947  ,Czechoslovakia,TCH,Jan PIVARNIK,Defender
8 May 1944  ,Czechoslovakia,TCH,Antonin FLESAR,Goalkeeper
23 April 1945  ,Czechoslovakia,TCH,Vladimir HRIVNAK,Defender
24 March 1942  ,Czechoslovakia,TCH,Jan ZLOCHA,Defender
20 November 1943  ,Czechoslovakia,TCH,Ivan HRDLICKA,Midfielder
11 July 1947  ,Czechoslovakia,TCH,Jaroslav POLLAK,Midfielder
7 December 1943  ,Czechoslovakia,TCH,Frantisek VESELY,Midfielder
5 March 1949  ,Czechoslovakia,TCH,Jozef JURKANIN,Forward
16 July 1950  ,Czechoslovakia,TCH,Milan ALBRECHT,Forward
11 January 1948  ,Czechoslovakia,TCH,Jozef CAPKOVIC,Forward
8 February 1944  ,Czechoslovakia,TCH,Alexander VENCEL,Goalkeeper
25 May 1923  ,Czechoslovakia,TCH,MARKO Jozef,Coach
24 February 1940  ,El Salvador,SLV,Raul MAGANA,Goalkeeper
17 July 1941  ,El Salvador,SLV,Roberto RIVAS,Defender
16 December 1943  ,El Salvador,SLV,Salvador MARIONA,Defender
19 January 1945  ,El Salvador,SLV,Santiago MENDEZ CORTES,Defender
6 January 1945  ,El Salvador,SLV,Saturnino OSORIO,Defender
29 October 1947  ,El Salvador,SLV,Jose QUINTANILLA,Midfielder
12 September 1945  ,El Salvador,SLV,Mauricio RODRIGUEZ,Midfielder
23 April 1945  ,El Salvador,SLV,Alfredo VASQUEZ,Midfielder
20 April 1948  ,El Salvador,SLV,Juan MARTINEZ,Midfielder
28 February 1947  ,El Salvador,SLV,Salvador FLAMENCO CABEZAS,Forward
28 December 1948  ,El Salvador,SLV,Ernesto APARICIO,Forward
27 November 1938  ,El Salvador,SLV,Mario MONGE,Midfielder
1 January 1939  ,El Salvador,SLV,Tomas PINEDA,Goalkeeper
30 September 1943  ,El Salvador,SLV,Mauricio MANZANO,Defender
12 September 1945  ,El Salvador,SLV,David CABRERA,Forward
28 November 1948  ,El Salvador,SLV,Genaro SERMENO,Midfielder
18 September 1947  ,El Salvador,SLV,Jaime PORTILLO,Forward
25 June 1940  ,El Salvador,SLV,Guillermo CASTRO,Defender
14 February 1942  ,El Salvador,SLV,Sergio MENDEZ,Midfielder
12 July 1941  ,El Salvador,SLV,Juan Gualberto FERNANDEZ,Goalkeeper
24 February 1946  ,El Salvador,SLV,Elmer Angel ACEVEDO,Forward
19 November 1947  ,El Salvador,SLV,Alberto VILLALTA,Midfielder
29 March 1928  ,El Salvador,SLV,CARRASCO Hernan,Coach
30 December 1937  ,England,ENG,Gordon BANKS,Goalkeeper
23 June 1941  ,England,ENG,Keith NEWTON,Defender
12 July 1944  ,England,ENG,Terry COOPER,Defender
23 November 1941  ,England,ENG,Alan MULLERY,Midfielder
23 January 1940  ,England,ENG,Brian LABONE,Defender
12 April 1941  ,England,ENG,Bobby MOORE,Defender
29 April 1944  ,England,ENG,Francis LEE,Forward
12 May 1945  ,England,ENG,Alan BALL,Midfielder
11 October 1937  ,England,ENG,Bobby CHARLTON,Midfielder
8 December 1941  ,England,ENG,Geoff HURST,Forward
8 November 1943  ,England,ENG,Martin PETERS,Forward
27 September 1941  ,England,ENG,Peter BONETTI,Goalkeeper
18 September 1942  ,England,ENG,Alex STEPNEY,Goalkeeper
21 October 1944  ,England,ENG,Tommy WRIGHT,Defender
18 May 1942  ,England,ENG,Nobby STILES,Defender
28 August 1947  ,England,ENG,Emlyn HUGHES,Midfielder
8 May 1935  ,England,ENG,Jack CHARLTON,Defender
29 October 1943  ,England,ENG,Norman HUNTER,Midfielder
26 February 1946  ,England,ENG,Colin BELL,Midfielder
20 February 1947  ,England,ENG,Peter OSGOOD,Forward
31 July 1946  ,England,ENG,Allan CLARKE,Forward
13 May 1942  ,England,ENG,Jeff ASTLE,Forward
22 January 1920  ,England,ENG,RAMSEY Alf,Coach
28 February 1944  ,Germany FR,FRG,Sepp MAIER,Goalkeeper
10 September 1943  ,Germany FR,FRG,Horst-Dieter HOETTGES,Defender
31 March 1939  ,Germany FR,FRG,Karl-Heinz SCHNELLINGER,Defender
11 September 1945  ,Germany FR,FRG,Franz BECKENBAUER,Defender
4 October 1938  ,Germany FR,FRG,Willi SCHULZ,Defender
