Attendance,AwayCode,AwayScore,AwayTeam,City,Date,Description,HomeCode,HomeScore,HomeTeam,MatchReport,Penalty
49669,MEX,1,Mexico,Johannesburg  (RSA),11 Jun 2010,First stage - Group A,RSA,1,South Africa,https://www.fifa.com/worldcup/matches/round=249722/match=300061454/index.html#nosticky,
49669,FRA,0,France,Cape Town  (RSA),11 Jun 2010,First stage - Group A,URU,0,Uruguay,https://www.fifa.com/worldcup/matches/round=249722/match=300061453/index.html#nosticky,
49669,GRE,0,Greece,Nelson Mandela Bay/Port Elizabeth  (RSA),12 Jun 2010,First stage - Group B,KOR,2,Korea Republic,https://www.fifa.com/worldcup/matches/round=249722/match=300061459/index.html#nosticky,
49669,NGA,0,Nigeria,Johannesburg  (RSA),12 Jun 2010,First stage - Group B,ARG,1,Argentina,https://www.fifa.com/worldcup/matches/round=249722/match=300061460/index.html#nosticky,
49669,USA,1,USA,Rustenburg  (RSA),12 Jun 2010,First stage - Group C,ENG,1,England,https://www.fifa.com/worldcup/matches/round=249722/match=300061466/index.html#nosticky,
49669,SVN,1,Slovenia,Polokwane  (RSA),13 Jun 2010,First stage - Group C,ALG,0,Algeria,https://www.fifa.com/worldcup/matches/round=249722/match=300061465/index.html#nosticky,
49669,GHA,1,Ghana,Tshwane/Pretoria  (RSA),13 Jun 2010,First stage - Group D,SRB,0,Serbia,https://www.fifa.com/worldcup/matches/round=249722/match=300061471/index.html#nosticky,
49669,AUS,0,Australia,Durban  (RSA),13 Jun 2010,First stage - Group D,GER,4,Germany,https://www.fifa.com/worldcup/matches/round=249722/match=300111116/index.html#nosticky,
49669,DEN,0,Denmark,Johannesburg  (RSA),14 Jun 2010,First stage - Group E,NED,2,Netherlands,https://www.fifa.com/worldcup/matches/round=249722/match=300061478/index.html#nosticky,
49669,CMR,0,Cameroon,Mangaung/Bloemfontein  (RSA),14 Jun 2010,First stage - Group E,JPN,1,Japan,https://www.fifa.com/worldcup/matches/round=249722/match=300061477/index.html#nosticky,
49669,PAR,1,Paraguay,Cape Town  (RSA),14 Jun 2010,First stage - Group F,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=249722/match=300061484/index.html#nosticky,
49669,SVK,1,Slovakia,Rustenburg  (RSA),15 Jun 2010,First stage - Group F,NZL,1,New Zealand,https://www.fifa.com/worldcup/matches/round=249722/match=300061483/index.html#nosticky,
49669,POR,0,Portugal,Nelson Mandela Bay/Port Elizabeth  (RSA),15 Jun 2010,First stage - Group G,CIV,0,Ivory Coast,https://www.fifa.com/worldcup/matches/round=249722/match=300061489/index.html#nosticky,
49669,PRK,1,Korea DPR,Johannesburg  (RSA),15 Jun 2010,First stage - Group G,BRA,2,Brazil,https://www.fifa.com/worldcup/matches/round=249722/match=300061490/index.html#nosticky,
49669,CHI,1,Chile,Nelspruit  (RSA),16 Jun 2010,First stage - Group H,HON,0,Honduras,https://www.fifa.com/worldcup/matches/round=249722/match=300061495/index.html#nosticky,
49669,SUI,1,Switzerland,Durban  (RSA),16 Jun 2010,First stage - Group H,ESP,0,Spain,https://www.fifa.com/worldcup/matches/round=249722/match=300111112/index.html#nosticky,
49669,URU,3,Uruguay,Tshwane/Pretoria  (RSA),16 Jun 2010,First stage - Group A,RSA,0,South Africa,https://www.fifa.com/worldcup/matches/round=249722/match=300061452/index.html#nosticky,
49669,KOR,1,Korea Republic,Johannesburg  (RSA),17 Jun 2010,First stage - Group B,ARG,4,Argentina,https://www.fifa.com/worldcup/matches/round=249722/match=300061458/index.html#nosticky,
49669,NGA,1,Nigeria,Mangaung/Bloemfontein  (RSA),17 Jun 2010,First stage - Group B,GRE,2,Greece,https://www.fifa.com/worldcup/matches/round=249722/match=300061457/index.html#nosticky,
49669,MEX,2,Mexico,Polokwane  (RSA),17 Jun 2010,First stage - Group A,FRA,0,France,https://www.fifa.com/worldcup/matches/round=249722/match=300061451/index.html#nosticky,
49669,SRB,1,Serbia,Nelson Mandela Bay/Port Elizabeth  (RSA),18 Jun 2010,First stage - Group D,GER,0,Germany,https://www.fifa.com/worldcup/matches/round=249722/match=300061470/index.html#nosticky,
49669,USA,2,USA,Johannesburg  (RSA),18 Jun 2010,First stage - Group C,SVN,2,Slovenia,https://www.fifa.com/worldcup/matches/round=249722/match=300061463/index.html#nosticky,
49669,ALG,0,Algeria,Cape Town  (RSA),18 Jun 2010,First stage - Group C,ENG,0,England,https://www.fifa.com/worldcup/matches/round=249722/match=300061464/index.html#nosticky,
49669,JPN,0,Japan,Durban  (RSA),19 Jun 2010,First stage - Group E,NED,1,Netherlands,https://www.fifa.com/worldcup/matches/round=249722/match=300111117/index.html#nosticky,
49669,AUS,1,Australia,Rustenburg  (RSA),19 Jun 2010,First stage - Group D,GHA,1,Ghana,https://www.fifa.com/worldcup/matches/round=249722/match=300061469/index.html#nosticky,
49669,DEN,2,Denmark,Tshwane/Pretoria  (RSA),19 Jun 2010,First stage - Group E,CMR,1,Cameroon,https://www.fifa.com/worldcup/matches/round=249722/match=300061475/index.html#nosticky,
49669,PAR,2,Paraguay,Mangaung/Bloemfontein  (RSA),20 Jun 2010,First stage - Group F,SVK,0,Slovakia,https://www.fifa.com/worldcup/matches/round=249722/match=300061481/index.html#nosticky,
49669,NZL,1,New Zealand,Nelspruit  (RSA),20 Jun 2010,First stage - Group F,ITA,1,Italy,https://www.fifa.com/worldcup/matches/round=249722/match=300061482/index.html#nosticky,
49669,CIV,1,Ivory Coast,Johannesburg  (RSA),20 Jun 2010,First stage - Group G,BRA,3,Brazil,https://www.fifa.com/worldcup/matches/round=249722/match=300061488/index.html#nosticky,
49669,PRK,0,Korea DPR,Cape Town  (RSA),21 Jun 2010,First stage - Group G,POR,7,Portugal,https://www.fifa.com/worldcup/matches/round=249722/match=300061487/index.html#nosticky,
49669,SUI,0,Switzerland,Nelson Mandela Bay/Port Elizabeth  (RSA),21 Jun 2010,First stage - Group H,CHI,1,Chile,https://www.fifa.com/worldcup/matches/round=249722/match=300061493/index.html#nosticky,
49669,HON,0,Honduras,Johannesburg  (RSA),21 Jun 2010,First stage - Group H,ESP,2,Spain,https://www.fifa.com/worldcup/matches/round=249722/match=300061494/index.html#nosticky,
49669,URU,1,Uruguay,Rustenburg  (RSA),22 Jun 2010,First stage - Group A,MEX,0,Mexico,https://www.fifa.com/worldcup/matches/round=249722/match=300061450/index.html#nosticky,
49669,RSA,2,South Africa,Mangaung/Bloemfontein  (RSA),22 Jun 2010,First stage - Group A,FRA,1,France,https://www.fifa.com/worldcup/matches/round=249722/match=300061449/index.html#nosticky,
49669,KOR,2,Korea Republic,Durban  (RSA),22 Jun 2010,First stage - Group B,NGA,2,Nigeria,https://www.fifa.com/worldcup/matches/round=249722/match=300111115/index.html#nosticky,
49669,ARG,2,Argentina,Polokwane  (RSA),22 Jun 2010,First stage - Group B,GRE,0,Greece,https://www.fifa.com/worldcup/matches/round=249722/match=300061455/index.html#nosticky,
49669,ENG,1,England,Nelson Mandela Bay/Port Elizabeth  (RSA),23 Jun 2010,First stage - Group C,SVN,0,Slovenia,https://www.fifa.com/worldcup/matches/round=249722/match=300061462/index.html#nosticky,
49669,ALG,0,Algeria,Tshwane/Pretoria  (RSA),23 Jun 2010,First stage - Group C,USA,1,USA,https://www.fifa.com/worldcup/matches/round=249722/match=300061461/index.html#nosticky,
49669,GER,1,Germany,Johannesburg  (RSA),23 Jun 2010,First stage - Group D,GHA,0,Ghana,https://www.fifa.com/worldcup/matches/round=249722/match=300061468/index.html#nosticky,
49669,SRB,1,Serbia,Nelspruit  (RSA),23 Jun 2010,First stage - Group D,AUS,2,Australia,https://www.fifa.com/worldcup/matches/round=249722/match=300061467/index.html#nosticky,
49669,ITA,2,Italy,Johannesburg  (RSA),24 Jun 2010,First stage - Group F,SVK,3,Slovakia,https://www.fifa.com/worldcup/matches/round=249722/match=300061480/index.html#nosticky,
49669,NZL,0,New Zealand,Polokwane  (RSA),24 Jun 2010,First stage - Group F,PAR,0,Paraguay,https://www.fifa.com/worldcup/matches/round=249722/match=300061479/index.html#nosticky,
49669,JPN,3,Japan,Rustenburg  (RSA),24 Jun 2010,First stage - Group E,DEN,1,Denmark,https://www.fifa.com/worldcup/matches/round=249722/match=300061474/index.html#nosticky,
49669,NED,2,Netherlands,Cape Town  (RSA),24 Jun 2010,First stage - Group E,CMR,1,Cameroon,https://www.fifa.com/worldcup/matches/round=249722/match=300061473/index.html#nosticky,
49669,BRA,0,Brazil,Durban  (RSA),25 Jun 2010,First stage - Group G,POR,0,Portugal,https://www.fifa.com/worldcup/matches/round=249722/match=300111111/index.html#nosticky,
